name,best_price,price_link
Realme X50 5G Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/realme/x50-5g/
Samsung Galaxy A01 Ficha Técnica,Melhor PreçoR$890,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a01/
Samsung Galaxy A01 Ficha Técnica,Melhor PreçoR$890,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a01/
Samsung Galaxy A01 Ficha Técnica,Melhor PreçoR$890,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a01/
Samsung Galaxy A01 Ficha Técnica,Melhor PreçoR$890,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a01/
Samsung Galaxy A01 Ficha Técnica,Melhor PreçoR$890,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a01/
Samsung Galaxy A71 Ficha Técnica,Melhor PreçoR$2.023,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a71/
Samsung Galaxy A71 Ficha Técnica,Melhor PreçoR$2.023,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a71/
Samsung Galaxy A71 Ficha Técnica,Melhor PreçoR$2.023,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a71/
Xiaomi Redmi K30 5G Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-k30-5g/
Xiaomi Redmi K30 5G Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-k30-5g/
Xiaomi Redmi K30 5G Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-k30-5g/
Xiaomi Redmi K30 5G Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-k30-5g/
Nokia 2.3 Ficha Técnica,Melhor PreçoR$899,https://www.maiscelular.com.br//fichas-tecnicas/nokia/2-3/
Motorola One Hyper Ficha Técnica,Melhor PreçoR$1.649,https://www.maiscelular.com.br//fichas-tecnicas/motorola/one-hyper/
Motorola One Hyper Ficha Técnica,Melhor PreçoR$1.649,https://www.maiscelular.com.br//fichas-tecnicas/motorola/one-hyper/
Motorola One Hyper Ficha Técnica,Melhor PreçoR$1.649,https://www.maiscelular.com.br//fichas-tecnicas/motorola/one-hyper/
Motorola One Hyper Ficha Técnica,Melhor PreçoR$1.649,https://www.maiscelular.com.br//fichas-tecnicas/motorola/one-hyper/
Motorola Razr (2019) Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/motorola/razr-2019/
OnePlus 7T Pro McLaren Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/oneplus/7t-pro-mclaren/
OnePlus 7T Pro McLaren Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/oneplus/7t-pro-mclaren/
Samsung Galaxy A51 Ficha Técnica,Melhor PreçoR$1.609,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a51/
Samsung Galaxy A51 Ficha Técnica,Melhor PreçoR$1.609,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a51/
Samsung Galaxy A51 Ficha Técnica,Melhor PreçoR$1.609,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a51/
Samsung Galaxy A51 Ficha Técnica,Melhor PreçoR$1.609,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a51/
Samsung Galaxy A51 Ficha Técnica,Melhor PreçoR$1.609,https://www.maiscelular.com.br//fichas-tecnicas/samsung/galaxy-a51/
Xiaomi Mi Note 10 Pro Ficha Técnica,Melhor PreçoR$4.700,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/mi-note-10-pro/
Xiaomi Redmi K30 Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-k30/
Xiaomi Redmi K30 Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-k30/
Xiaomi Redmi K30 Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-k30/
Xiaomi Redmi K30 Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-k30/
Xiaomi Mi Note 10 Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/mi-note-10/
Xiaomi Redmi Note 8T Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-note-8t/
Xiaomi Redmi Note 8T Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-note-8t/
Xiaomi Redmi Note 8T Ficha Técnica,sem_preco,https://www.maiscelular.com.br//fichas-tecnicas/xiaomi/redmi-note-8t/
