,modelo_celular,menor_preco,data_anuncio,tela,touchscreen,4g,3g,camera traseira,camera selfie,nfc,gravacao de video,dual chip,profundidade,formato,flash embutido,memoria interna,peso,tecnologia,android,ios,wind,brand,sem_recurso,auto rotacao,multitouch,resistente a respingos d'agua,force touch,curva,full hd,resistente a arranhoes,resistente a queda,3d,link_anuncio
343,smartphone huawei p30 desbloqueado 128gb dual chip android 9.0 pie preto,3299,2019,6.1,1,0,1,40.0,0.0,0,rec_capacity_not_informed,1,3.422811501597444,barra,0,128.0,171.99525423728812,gsm,9.0,0.0,0.0,huawei,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-huawei-p30-desbloqueado-128gb-dual-chip-android-9-0-pie-preto/p
345,smartphone samsung galaxy note 10 sm-n970f/2dl 256gb desbloqueado dual chip android 9.0 preto,3299,2019,6.3,1,1,1,12.0,10.0,1,rec_capacity_not_informed,1,0.79,barra,0,256.0,168.0,tec_not_informed,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-note-10-sm-n970f-2dl-256gb-desbloqueado-dual-chip-android-9-0-preto/p
347,smartphone lg g7 thinq lmg710emw desbloqueado gsm 32gb dual chip android 8.0 platinum,3260,2019,6.1,1,1,1,16.0,8.0,1,4k,1,0.79,barra,1,32.0,162.0,gsm,8.0,0.0,0.0,lg,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-lg-g7-thinq-lmg710emw-desbloqueado-gsm-32gb-dual-chip-android-8-0-platinum/p
348,"iphone se apple 64gb 4.7"" 4g ios 9 preto",3255,2020,4.7,1,1,1,12.0,7.0,1,4k,0,7.6,barra,1,64.0,113.0,gsm,0.0,9.0,0.0,apple,0,1,1,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-se-apple-64gb-4-4g-ios-9-preto/p
349,"iphone 8 plus apple 64gb 5.5"" desbloqueado dourado",3254,2017,5.5,1,1,1,12.0,7.0,1,4k. hd,0,0.75,barra,1,64.0,202.0,tec_not_informed,0.0,11.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-8-plus-apple-64gb-5-5-desbloqueado-dourado/p
350,smartphone samsung galaxy s10+ plus sm-g975f desbloqueado vivo gsm 128gb android 9.0 pie preto,3254,2019,6.4,1,1,1,12.0,10.0,1,4k,1,0.78,barra,1,128.0,175.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-plus-sm-g975f-desbloqueado-vivo-gsm-128gb-android-9-0-pie-preto/p
352,smartphone samsung galaxy s6 edge sm-g925i desbloqueado vivo gsm 4g 64gb android branco,3239,2016,5.1,1,1,1,16.0,5.0,1,4k,0,0.7,barra,1,64.0,132.0,gsm,5.0,0.0,0.0,samsung,0,0,0,0,0,1,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s6-edge-sm-g925i-desbloqueado-vivo-gsm-4g-64gb-android-branco/p
354,smartphone samsung galaxy s6 edge sm-g925i desbloqueado vivo gsm 4g 64gb android preto,3221,2016,5.1,1,1,1,16.0,5.0,1,4k,0,0.7,barra,1,64.0,132.0,gsm,5.0,0.0,0.0,samsung,0,0,0,0,0,1,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s6-edge-sm-g925i-desbloqueado-vivo-gsm-4g-64gb-android-preto/p
355,smartphone samsung galaxy s10+ plus sm-g975f desbloqueado gsm 128gb android 9.0 pie preto,3161,2019,6.4,1,1,1,12.0,10.0,1,4k,1,0.78,barra,1,128.0,175.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-plus-sm-g975f-desbloqueado-gsm-128gb-android-9-0-pie-preto/p
357,"iphone 8 plus apple 128gb 5.5"" desbloqueado dourado",3149,2019,5.5,1,1,1,12.0,7.0,1,4k. hd,0,0.75,barra,1,128.0,202.0,tec_not_informed,0.0,11.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-8-plus-apple-128gb-5-5-desbloqueado-dourado/p
