,modelo_celular,menor_preco,data_anuncio,tela,touchscreen,4g,3g,camera traseira,camera selfie,nfc,gravacao de video,dual chip,profundidade,formato,flash embutido,memoria interna,peso,tecnologia,android,ios,wind,brand,sem_recurso,auto rotacao,multitouch,resistente a respingos d'agua,force touch,curva,full hd,resistente a arranhoes,resistente a queda,3d,link_anuncio,cluster
1142,smartphone zenfone asus max plus m2 zb634kl desbloqueado 32gb dual chip android 8.0 vermelho,1099,2019,6.2,1,1,1,12.0,8.0,0,rec_capacity_not_informed,1,0.84,barra,0,32.0,165.0,gsm,8.0,0.0,0.0,asus,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-zenfone-asus-max-plus-m2-zb634kl-desbloqueado-32gb-dual-chip-android-8-0-vermelho/p,27
1143,smartphone samsung galaxy j7 prime 2 sm-g611mt desbloqueado gsm dual chip 32gb tv digital android 7.1 dourado,1099,2018,5.5,1,1,1,13.0,13.0,1,hd,1,0.8,barra,1,32.0,170.0,gsm,7.1,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-j7-prime-2-sm-g611mt-desbloqueado-gsm-dual-chip-32gb-tv-digital-android-7-1-dourado/p,16
1144,smartphone samsung galaxy a30 sm-a305gt/6dl desbloqueado 64gb dual chip android 9.0 preto,1099,2019,6.4,1,1,1,16.0,16.0,0,4k,1,0.78,barra,1,64.0,165.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a30-sm-a305gt-6dl-desbloqueado-64gb-dual-chip-android-9-0-preto/p,153
1145,smartphone motorola moto e6 plus xt2025-1 desbloqueado 64gb dual chip android pie 9.0 cinza,1099,2019,6.1,1,1,1,13.0,8.0,1,hd,1,3.422811501597444,barra,0,64.0,171.99525423728812,tec_not_informed,9.0,0.0,0.0,motorola,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-motorola-moto-e6-plus-xt2025-1-desbloqueado-64gb-dual-chip-android-pie-9-0-cinza/p,74
1147,smartphone blu g9 g0130ww desbloqueado dual chip 64gb android 9.0 preto,1099,2019,6.3,1,0,1,16.0,16.0,0,rec_capacity_not_informed,1,3.422811501597444,barra,1,64.0,171.99525423728812,gsm,9.0,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-blu-g9-g0130ww-desbloqueado-dual-chip-64gb-android-9-0-preto/p,221
1148,smartphone zenfone asus max plus m2 zb634kl-4d004br desbloqueado 32gb dual chip android 8.0 prata,1099,2019,6.2,1,1,1,12.0,8.0,0,rec_capacity_not_informed,1,0.84,barra,0,32.0,165.0,tec_not_informed,8.0,0.0,0.0,asus,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-zenfone-asus-max-plus-m2-zb634kl-4d004br-desbloqueado-32gb-dual-chip-android-8-0-prata/p,154
1149,smartphone xiaomi redmi 7a desbloqueado 32gb dual chip android 9.0 preto,1099,2019,5.45,1,1,1,13.0,5.0,0,full hd,1,3.422811501597444,barra,1,32.0,171.99525423728812,gsm,0.0,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-xiaomi-redmi-7a-desbloqueado-32gb-dual-chip-android-9-0-preto/p,21
1150,smartphone zenfone asus max plus m2 zb634kl-4d004br desbloqueado 32gb dual chip android 8.0 azul,1099,2019,6.2,1,1,1,12.0,8.0,0,rec_capacity_not_informed,1,0.84,barra,0,32.0,165.0,tec_not_informed,8.0,0.0,0.0,asus,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-zenfone-asus-max-plus-m2-zb634kl-4d004br-desbloqueado-32gb-dual-chip-android-8-0-azul/p,154
1151,smartphone samsung galaxy a30 sm-a305gt/6dl desbloqueado 64gb dual chip android 9.0 branco,1099,2019,6.4,1,1,1,16.0,16.0,0,4k,1,0.78,barra,1,64.0,165.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a30-sm-a305gt-6dl-desbloqueado-64gb-dual-chip-android-9-0-branco/p,153
1152,smartphone xiaomi redmi s2 desbloqueado gsm 32gb android 8.1 cinza,1099,2018,5.99,1,1,1,12.0,16.0,0,rec_capacity_not_informed,1,81.0,barra,1,32.0,165.0,gsm,8.1,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-xiaomi-redmi-s2-desbloqueado-gsm-32gb-android-8-1-cinza/p,135
1153,smartphone motorola moto x4 xt1900 desbloqueado gsm 32gb dual chip android 7.1 preto,1099,2017,5.2,1,1,1,12.0,8.0,1,rec_capacity_not_informed,1,0.8,barra,1,32.0,163.0,gsm,7.1,0.0,0.0,motorola,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-motorola-moto-x4-xt1900-desbloqueado-gsm-32gb-dual-chip-android-7-1-preto/p,178
1154,smartphone xiaomi redmi s2 desbloqueado gsm 32gb android 8.1 dourado,1099,2018,5.99,1,1,1,12.0,16.0,0,rec_capacity_not_informed,0,81.0,barra,1,32.0,165.0,gsm,8.1,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-xiaomi-redmi-s2-desbloqueado-gsm-32gb-android-8-1-dourado/p,135
1157,smartphone samsung galaxy j7 prime 2 sm-g611m desbloqueado dual chip 32gb tv digital android 7.1,1099,2018,5.5,1,1,1,13.0,13.0,1,full hd,1,0.8,barra,1,32.0,170.0,gsm,7.1,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-j7-prime-2-sm-g611m-desbloqueado-dual-chip-32gb-tv-digital-android-7-1/p,124
1158,smartphone samsung galaxy a30 sm-a305gt/6dl desbloqueado 64gb dual chip android 9.0 azul,1099,2019,6.4,1,1,1,16.0,16.0,0,4k,1,0.78,barra,1,64.0,165.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a30-sm-a305gt-6dl-desbloqueado-64gb-dual-chip-android-9-0-azul/p,153
