,modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio
637,iPhone 6s Apple 4G 16GB 4.7” Dourado,"R$ 1.588,60","R$ 1.579,99", Nov/2015,jacotei.com.br,https://www.jacotei.com.br/iphone-6s-apple-4g-16gb-4-7-dourado/p
638,Smartphone Motorola Moto G8 Plus XT2019 64GB 4GB RAM Câmera Tripla Tela 6.3 Cereja,"R$ 1.579,90","R$ 1.579,90", Mar/2020,pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUE1PwkAQ%2FSubPXjCQoGllIQQJchFEqMcvJHtdCrVtrOZ7pIYwn932oh42I%2F35s3LzDvrE3JbUqMXOo5iPdD%2B26EAqEr4EuiY8gBeL846cCWFo%2FeuXQyHfcFT5KjxVHBJEVAdZTyMzShOzTgZx6vg60NLgQGXnxbIY3nXUTXmZaiXoneWbU7sGIH6EogbNn55M7kDaajhanB43z3fH%2B73m%2BeNPOs%2FCwG3HpkbHOjFKJqbgT7ZKshKsUnSKB3oxtbdgm%2B1Ze%2BO1KDakSemyvYftZ2rlyq06n0%2FFj81m24fVXdeH3ZqvaqRrdpz6US%2BR7lm0UStkfHT3sILjW3b8qPBXDgqCuRDmQs%2Fs8YAxFlamPkkLQAwT0ajHIpianGcGVG3Mgr26sn8in4nfumSVk8Sdbef9fhB%2FN1LTfKP%2BFWvsQqVZX2REksW2iYmjbNspi8%2FgluhVA%3D%3D
639,Smartphone Xiaomi Redmi Note 8 Pro Desbloqueado Dual Chip 64GB Android 9.0 Pie Verde,"R$ 2.887,90","R$ 1.572,00", Out/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-xiaomi-redmi-note-8-pro-desbloqueado-dual-chip-64gb-android-9-0-pie-verde/p
640,iPhone 6s Apple 4G 16GB 4.7” Ouro Rosa,"R$ 1.595,90","R$ 1.565,49", Nov/2015,jacotei.com.br,https://www.jacotei.com.br/iphone-6s-apple-4g-16gb-4-7-rosa-dourado/p
641,Smartphone Motorola Moto Z3 Play XT1929-5 Desbloqueado 128GB Dual Chip Android 8.0 Ônix,"R$ 1.999,41","R$ 1.563,99", Jun/2018,jacotei.com.br,https://www.jacotei.com.br/smartphone-motorola-moto-z3-play-xt1929-5-desbloqueado-128gb-dual-chip-android-8-0-onix/p
642,"Elephone PX 6.53"" FHD+ Full Screen Global Mobile phone Android 9.0 MT6763 Pop-Up Camera Redbey","R$ 1.563,49","R$ 1.563,49", Mar/2020,americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUV1r2zAU%2FStCkLwscSwpkuVAGCFdtoeVlX3AHgZFH1eNqWp5st0QSv%2F7btyWbaCHe849EuccPdFHyH2TWrqhrGB0QYdzBwhcbNw9wi4nP7qBbp7omCMujsPQ9ZvVasjG3UPmhfFymguXHt7Y1XT9vXFuy50LoDn3wWvpha24kFVYexlKXYeg5s1W1pqBqxmAEz5YFrRWgQGfp630BrhySjmujXBWlmWoZb2eZ%2FBNBjfcoqvt5GkmdjN%2BwHM6nQrzALlxpjX9xVZhM%2FJTlCHhxDir8BVZipk4hGza3zNxtTt8XpZiyUuh2Iwr6ExG1vKTCU1sjE89sqlrX6S7%2FZdrxMeIMKYTZOzKdY5uykLLBX00ccQamVSiWNcL2qIhLO9DhO6YWiA3P4kqpPhFyeHT1TtyGGMk31wGaMnHmKyJ5DrZJgJ5ke9an1PjSV2U5Pq7qpQgN6lb%2FujI%2FpLUkK%2FgLZz%2Fft%2BIyfvmrgWPXAoB8m3jkbc8KDSlmeeqDNKuTTBGl8EabD8IQHU%2FpAyTWsg39Gp%2F91%2Brl8RmgLuUz5NcVv8Qrzf2EMdoMn3GVcZ2aFCVZUJq%2BvwHcj%2FGUg%3D%3D
643,Smartphone Lg K11 Alpha LMX410BTW Desbloqueado GSM 16GB Dual Chip Android 7.1 Dourado + Cartão de 16GB,"R$ 1.560,87","R$ 1.560,87", Jan/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-lg-k11-alpha-lmx410btw-desbloqueado-gsm-16gb-dual-chip-android-7-1-dourado-cartao-de-16gb/p
644,Smartphone Xiaomi Redmi Note 8 Pro Desbloqueado Dual Chip 64GB Android 9.0 Pie Cinza,"R$ 1.754,50","R$ 1.558,00", Out/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-xiaomi-redmi-note-8-pro-desbloqueado-dual-chip-64gb-android-9-0-pie-cinza/p
645,IPhone 6 32GB Apple Desbloqueado GSM Cinza Espacial,"R$ 1.553,91","R$ 1.553,91", Out/2017,jacotei.com.br,https://www.jacotei.com.br/iphone-6-32gb-apple-desbloqueado-gsm-cinza-espacial/p
646,Smartphone Motorola G8 Plus XT2019-2 Desbloqueado 64GB Dual Chip Android 9.0 Cereja + Capa + Película,"R$ 1.599,00","R$ 1.551,03", Jan/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-motorola-g8-plus-xt2019-2-desbloqueado-64gb-dual-chip-android-9-0-cereja-capa-pelicula/p
