,title,old_price,price,parcelas,image_link,product_link,produto_disponível
607,Smartphone Huawei Y7 2018 2GB Ram Tela 5.99 16GB Camera 13MP - Preto,789.0,789.0,"Até 10xdeR$78,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h3c/h9b/h00/h00/14837569617950.jpg,www.carrefour.com.br/Smartphone-Huawei-Y7-2018-2GB-Ram-Tela-5-99-16GB-Camera-13MP-Preto/p/MP19479074,Yes
608,"Smartphone Motorola Moto E6 Play 32GB Azul 4G Tela 5,5",699.0,699.0,"Até 10xdeR$77,67  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h51/he0/h00/h00/15308030443550.jpg,www.carrefour.com.br/Smartphone-Motorola-Moto-E6-Play-32GB-Azul-4G-Tela-5-5-Camera-13MP-Selfie-5MP-Dual-Chip-Android-9/p/5861870,Yes
609,"Smartphone Motorola Moto E6 Play 32GB Preto 4G Tela 5,5",699.0,699.0,"Até 10xdeR$77,67  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h48/h06/h00/h00/15308025659422.jpg,www.carrefour.com.br/Smartphone-Motorola-Moto-E6-Play-32GB-Preto-4G-Tela-5-5-Camera-13MP-Selfie-5MP-Dual-Chip-Android-9/p/5861888,Yes
610,Smartphone TCL C5 5152D 32GB com Dual Chip Tela 5.5 4G Wi-Fi 13MP Alcatel,768.9,768.9,"Até 10xdeR$76,89  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h61/h42/h00/h00/13508268589086.jpg,www.carrefour.com.br/Smartphone-TCL-C5-5152D-32GB-com-Dual-Chip-Tela-5-5-4G-Wi-Fi-13MP-Alcatel/p/MP15203895,Yes
611,Smartphone LG K12 Max 32GB Tela 6.26 Preto,759.0,759.0,"Até 10xdeR$75,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h9d/hf3/h00/h00/15229665738782.jpg,www.carrefour.com.br/Smartphone-LG-K12-Max-32GB-Tela-6-26-Preto/p/MP20185111,Yes
612,Smartphone LG K40s 32GB Dual Chip Android 9 Tela 6.1' Octa Core 2.0GHz 4G Câmera 13+5MP Preto,739.0,739.0,"Até 10xdeR$73,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h7e/h34/h00/h00/15865931104286.jpg,www.carrefour.com.br/Smartphone-LG-K40s-32GB-Dual-Chip-Android-9-Tela-6-1-Octa-Core-2-0GHz-4G-Camera-13-5MP-Preto/p/MP21005006,Yes
613,Smartphone LG K40S 32GB Tela 6.1` 2.0GHz 4G Câmera 13+5MP - Preto,739.0,739.0,"Até 10xdeR$73,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h7f/h65/h00/h00/15565355876382.jpg,www.carrefour.com.br/Smartphone-LG-K40S-32GB-Tela-6-1%60-2-0GHz-4G-Camera-13-5MP-Preto/p/MP20734744,Yes
614,Multilaser G Max 4G Smartphone 32GB Tela 6.0 Pol. Octa Core Android 9.0 GO Preto,730.55,730.55,"Até 10xdeR$73,06  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h9f/h35/h00/h00/26652913958942.jpg,www.carrefour.com.br/Multilaser-G-Max-4G-Smartphone-32GB-Tela-6-0-Pol-Octa-Core-Android-9-0-GO-Preto/p/MP23925656,Yes
615,"Smartphone Multilaser MS50X, Android 8.1 Versão GO, Dual chip, 8MP, 5.5'', 16GB, 4G - Preto",717.79,717.79,"Até 10xdeR$71,78  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h02/h7b/h00/h00/14739222233118.jpg,www.carrefour.com.br/Smartphone-Multilaser-MS50X-Android-8-1-Versao-GO-Dual-chip-8MP-5-5-16GB-4G-Preto/p/MP19318880,Yes
616,"Smartphone Multilaser MS50X 4G Preto Quad Core 1GB RAM Tela 5,5' Dual Chip Android 8.1 Preto - NB732 NB732",714.89,714.89,"Até 10xdeR$71,49  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h3b/h68/h00/h00/12706415476766.jpg,www.carrefour.com.br/Smartphone-Multilaser-MS50X-4G-Preto-Quad-Core-1GB-RAM-Tela-5-5-Dual-Chip-Android-8-1-Preto-NB732-NB732/p/MP13069184,Yes
617,"Smartphone Positivo Twist 2 S512 Quad-Core Dual Chip Android Oreo 5,34¿ - Cinza",712.24,712.24,"Até 10xdeR$71,22  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h79/hf2/h00/h00/16944679747614.jpg,www.carrefour.com.br/Smartphone-Positivo-Twist-2-S512-Quad-Core-Dual-Chip-Android-Oreo-5-34-Cinza/p/MP22253102,Yes
618,Smartphone LG K8+ 16GB Dual Chip Tela 5' Câmera Principal 8MP Frontal 5MP Android 7.0 Preto,699.0,699.0,"Até 10xdeR$69,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/ha6/h77/h00/h00/15579368652830.jpg,www.carrefour.com.br/Smartphone-LG-K8-16GB-Dual-Chip-Tela-5-Camera-Principal-8MP-Frontal-5MP-Android-7-0-Preto/p/MP20759271,Yes
619,Smartphone LG K8+ 16GB Dual Chip Tela 5' Câmera Principal 8MP Frontal 5MP Android 7.0 Platinum,699.0,699.0,"Até 10xdeR$69,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h16/had/h00/h00/15031298490398.jpg,www.carrefour.com.br/Smartphone-LG-K8-16GB-Dual-Chip-Tela-5-Camera-Principal-8MP-Frontal-5MP-Android-7-0-Platinum/p/MP19804525,Yes
620,"Smartphone TCL T7, Preto, Tela 5.7, 4G, 12MP e Frontal Dupla 13MP/5MP, Octacore, 3GB RAM, 32GB, FingerPrint, Desbloqueio Facial",699.0,699.0,"Até 10xdeR$69,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h62/hc7/h00/h00/14343181926430.jpg,www.carrefour.com.br/Smartphone-TCL-T7-Preto-Tela-5-7-4G-12MP-e-Frontal-Dupla-13MP-5MP-Octacore-3GB-RAM-32GB-FingerPrint-Desbloqueio-Facial/p/MP18656054,Yes
621,Smartphone Samsung J260M Galaxy J2 Core Preto 16 Gb,699.0,699.0,"Até 10xdeR$69,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h91/h41/h00/h00/13526445326366.jpg,www.carrefour.com.br/Smartphone-Samsung-J260M-Galaxy-J2-Core-Preto-16-Gb/p/MP14818986,Yes
622,Smartphone Samsung Galaxy J2 Core 16GB Preto Tela 5.0,699.0,699.0,"Até 10xdeR$69,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h45/h8a/h00/h00/13173277327390.jpg,www.carrefour.com.br/Smartphone-Samsung-Galaxy-J2-Core-16GB-Preto-Tela-5-0-Camera-8MP-Selfie-5MP-Dual-Chip-Android-Go-8-1/p/5625017,Yes
623,Smartphone Multilaser MS60F Plus 4G Duos Tela 5.5' 16GB Câm. 8MP Prata,681.94,681.94,"Até 10xdeR$68,19  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h33/h7f/h00/h00/14689293467678.jpg,www.carrefour.com.br/Smartphone-Multilaser-MS60F-Plus-4G-Duos-Tela-5-5-16GB-Cam-8MP-Prata/p/MP19242135,Yes
624,"Smartphone Multilaser G P9096 16GB 4G Tela 5,5' Câmera 5MP Frontal 5 MP Android 9 Dourado",664.05,664.05,"Até 10xdeR$66,40  sem juros",static.carrefour.com.br/medias/sys_master/images/images/ha5/h91/h00/h00/26971294105630.jpg,www.carrefour.com.br/Smartphone-Multilaser-G-P9096-16GB-4G-Tela-5-5-Camera-5MP-Frontal-5-MP-Android-9-Dourado/p/MP24443074,Yes
625,Smartphone Samsung Galaxy J2 Prime TV SM-G532MT 16GB Dourado 4G LTE Tela 5.0,659.9,659.9,"Até 10xdeR$65,99  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hdd/h17/h00/h00/9453315391518.jpg,www.carrefour.com.br/Smartphone-Samsung-Galaxy-J2-Prime-TV-SM-G532MT-16GB-Dourado-4G-LTE-Tela-5-0-Camera-8MP-Android-6-0/p/5064856,Yes
626,"Smartphone Semp GO 5E 5515, Android .8.1 Oreo, Dual chip, 13MP, 5.5'', 16GB, 4G - Preto",655.79,655.79,"Até 10xdeR$65,58  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hb0/h26/h00/h00/14739247792158.jpg,www.carrefour.com.br/Smartphone-Semp-GO-5E-5515-Android-8-1-Oreo-Dual-chip-13MP-5-5-16GB-4G-Preto/p/MP19320104,Yes
627,Smartphone Samsung Galaxy J2 Prime TV SM-G532MT 16GB Rosa 4G LTE Tela 5.0,649.9,649.9,"Até 10xdeR$64,99  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h27/h98/h00/h00/9453320765470.jpg,www.carrefour.com.br/Smartphone-Samsung-Galaxy-J2-Prime-TV-SM-G532MT-16GB-Rosa-4G-LTE-Tela-5-0-Camera-8MP-Android-6-0/p/5064805,Yes
628,Smartphone Samsung Galaxy J2 Prime TV SM-G532MT 16GB Preto 4G LTE Tela 5.0,649.9,649.9,"Até 10xdeR$64,99  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h41/hed/h00/h00/9453317685278.jpg,www.carrefour.com.br/Smartphone-Samsung-Galaxy-J2-Prime-TV-SM-G532MT-16GB-Preto-4G-LTE-Tela-5-0-Camera-8MP-Android-6-0/p/5064821,Yes
629,"Smartphone Multilaser MS50L 8GB, Tela de 5` 8MP  3G - Branco e Dourado",649.89,649.89,"Até 10xdeR$64,99  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hae/h14/h00/h00/11719786889246.jpg,www.carrefour.com.br/Smartphone-Multilaser-MS50L-8GB-Tela-de-5%60-8MP-3G-Branco-e-Dourado/p/MP11097229,Yes
630,"Smartphone Multilaser MS50L 8GB, Tela de 5` 8MP  3G - Preto e Grafite",649.89,649.89,"Até 10xdeR$64,99  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h72/h6f/h00/h00/11719785578526.jpg,www.carrefour.com.br/Smartphone-Multilaser-MS50L-8GB-Tela-de-5%60-8MP-3G-Preto-e-Grafite/p/MP11097227,Yes
631,Usado: iPhone 5S 32GB Prateado Muito Bom,649.0,649.0,"Até 10xdeR$64,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hcd/h06/h00/h00/14032975626270.jpg,www.carrefour.com.br/Usado-iPhone-5S-32GB-Prateado-Muito-Bom/p/MV17938557,Yes
632,Usado: iPhone 5S 32GB Dourado Muito Bom,649.0,649.0,"Até 10xdeR$64,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h06/h3a/h00/h00/14027377672222.jpg,www.carrefour.com.br/Usado-iPhone-5S-32GB-Dourado-Muito-Bom/p/MP18040492,Yes
633,Novo - Smartphone Samsung Galaxy J2 Core Prata 16GB 5' Android 8.1 Oreo SM-J260M/DS,632.78,632.78,"Até 10xdeR$63,28  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hb8/h37/h00/h00/26607854682142.jpg,www.carrefour.com.br/Novo-Smartphone-Samsung-Galaxy-J2-Core-Prata-16GB-5-Android-8-1-Oreo-SM-J260M-DS/p/MV23867369,Yes
634,Smartphone Samsung Galaxy J2 Core J260M 16GB Desbloqueado Prata,627.8,627.8,"Até 10xdeR$62,78  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hd0/ha3/h00/h00/13464439390238.jpg,www.carrefour.com.br/Smartphone-Samsung-Galaxy-J2-Core-J260M-16GB-Desbloqueado-Prata/p/MP15084083,Yes
