modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_anuncio,timestamp
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Verde","R$ 8.974,98","R$ 8.183,07", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-verde/p,Thu May 21 23:18:32 2020
Smartphone Samsung Galaxy Z Flip SM-F700F Desbloqueado Dual Chip 256GB Android 10.0 Preto,"R$ 8.999,99","R$ 8.099,10", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-z-flip-sm-f700f-desbloqueado-dual-chip-256gb-android-10-0-preto/p,Thu May 21 23:18:32 2020
Smartphone Motorola Razr 128GB Dual Chip Android Tela 6.2” Qualcomm Snapdragon 710 (SM710) 4G Câmera 16MP - Preto,"R$ 8.099,10","R$ 8.099,10", Abr/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5eaab316f8e95eac3d667ee3&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F1524058318%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
"Smartphone Samsung Galaxy Z Flip SM-F700FZ Dual Chip 256GB 8GB RAM 6,7” Ultravioleta","R$ 8.999,99","R$ 8.099,10", Mai/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-z-flip-sm-f700fz-dual-chip-256gb-8gb-ram-6-7-ultravioleta/p,Thu May 21 23:18:32 2020
"Smartphone Motorola Razr 128GB 6GB 6,2” Desbloqueado Android 9 Black","R$ 8.099,10","R$ 8.099,10", Mai/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-motorola-razr-128gb-6gb-6-2-desbloqueado-android-9-black/p,Thu May 21 23:18:32 2020
iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi Câmera 12MP - Apple,"R$ 7.999,20","R$ 7.999,20", Mai/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5bdbad16ebb19ac62cd9717a&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F134074574%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi Câmera 12MP - Apple,"R$ 7.999,20","R$ 7.999,20", Mai/2020,images-submarino.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=6c729faacd3ecabd5202efce4f88e130&i=5981ecdfeec3dfb1f8874205&o=5bdbb2b3ebb19ac62cd986e7&redirect_url=https%3A%2F%2Fwww.submarino.com.br%2Fproduto%2F134074574%3Fopn%3DAFLNOVOSUB%26epar%3Db2wafiliados%26franq%3DAFL-03-20361,Thu May 21 23:18:32 2020
iPhone 11 Pro 512GB Cinza Espacial iOS 4G + Wi-Fi Câmera 12MP,"R$ 7.999,00","R$ 7.999,00", Mar/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5d9ff1396c28a3cb50e3c045&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F262998958%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
iPhone Xs Max Prata 256GB IOS12 4G + Wi-fi Câmera 12MP - Apple,"R$ 7.954,98","R$ 7.954,98", Mai/2020,images-shoptime.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=59d7f5fb5371168019f9d4fdaebc4a29&i=5981ecb5eec3dfb1f8871ad5&o=5bddc82aebb19ac62cdaa7e1&redirect_url=https%3A%2F%2Fwww.shoptime.com.br%2Fproduto%2F134074179%3Fopn%3DAFLSHOP%26epar%3Db2wafiliados%26franq%3DAFL-03-20361%26hl%3Dlower,Thu May 21 23:18:32 2020
iPhone XS MAX Apple OLED 6.5'' Desbloqueado 256GB Prata,"R$ 7.954,98","R$ 7.954,98", Nov/2018,jacotei.com.br,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-256gb-cinza-espacial-copia-de-13376351/p,Thu May 21 23:18:32 2020
Smartphone Samsung Galaxy S20+ SM-G985F Desbloqueado Dual Chip 128GB Android 10 Cloud Blue + Relógio Galaxy Watch Active 2,"R$ 7.899,00","R$ 7.899,00", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-sm-g985f-desbloqueado-dual-chip-128gb-android-10-cloud-blue-relogio-galaxy-watch-active-2/p,Thu May 21 23:18:32 2020
"iPhone Apple 11 Pro 512GB Desbloqueado 5.8"" Verde","R$ 8.709,00","R$ 7.799,00", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-apple-11-pro-512gb-desbloqueado-5-8-verde/p,Thu May 21 23:18:32 2020
iPhone XS MAX Apple OLED 6.5'' Desbloqueado 256GB Cinza Espacial,"R$ 7.799,00","R$ 7.799,00", Nov/2018,jacotei.com.br,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-256gb-cinza-espacial/p,Thu May 21 23:18:32 2020
"iPhone Apple 11 Pro 512GB Desbloqueado 5.8"" Prata","R$ 9.239,00","R$ 7.699,00", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-apple-11-pro-512gb-desbloqueado-5-8-prata/p,Thu May 21 23:18:32 2020
"iPhone Apple 11 Pro 512GB Desbloqueado 5.8"" Dourado","R$ 8.362,98","R$ 7.699,00", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-apple-11-pro-512gb-desbloqueado-5-8-dourado/p,Thu May 21 23:18:32 2020
